subcategory,rank_in_subcategory,percentile_in_subcategory,Source title,tier,Publisher,SJR,impact_index,cluster_raw
Anthropology,69,91.28205128205128,Tel Aviv,C: Preferred,Taylor & Francis,0.795,7.656640114136251,2
Anthropology,70,91.15384615384615,Ethnos,C: Preferred,Taylor & Francis,0.789,7.585304957793366,2
Anthropology,71,91.02564102564102,Current Anthropology,C: Preferred,University of Chicago Press,0.785,7.537748186898111,2
Anthropology,72,90.8974358974359,Social Justice Research,C: Preferred,Springer Nature,0.778,7.454523837831411,2
Anthropology,73,90.76923076923077,Psychology of Popular Media,C: Preferred,American Psychological Association,0.773,7.395077874212341,2
Anthropology,74,90.64102564102564,Medical Anthropology Quarterly,C: Preferred,John Wiley & Sons,0.77,7.3594102960409,2
Anthropology,74,90.64102564102564,Cultural geographies,C: Preferred,SAGE,0.77,7.3594102960409,2
Anthropology,75,90.51282051282051,Race and Social Problems,C: Preferred,Springer Nature,0.767,7.3237427178694565,2
Anthropology,76,90.38461538461539,Ethnicities,C: Preferred,SAGE,0.763,7.2761859469742,2
Anthropology,77,90.25641025641026,World Englishes,C: Preferred,John Wiley & Sons,0.76,7.240518368802759,2
Anthropology,78,90.12820512820512,Race and Justice,C: Preferred,SAGE,0.757,7.204850790631316,2
Anthropology,79,90,Anthropology Today,C: Preferred,John Wiley & Sons,0.756,7.192961597907502,2
Anthropology,80,89.87179487179488,"Crime, Media, Culture",C: Preferred,SAGE,0.754,7.169183212459875,2
Anthropology,81,89.74358974358975,Journal of Tourism and Cultural Change,C: Preferred,Taylor & Francis,0.752,7.145404827012245,2
Anthropology,82,89.61538461538461,Fashion and Textiles,C: Preferred,Springer Nature,0.75,7.121626441564617,2
Anthropology,83,89.48717948717949,Lithic Technology,C: Preferred,Taylor & Francis,0.749,7.109737248840804,2
Anthropology,84,89.35897435897436,Critical Studies in Television,C: Preferred,SAGE,0.746,7.0740696706693615,2
Anthropology,85,89.23076923076923,International Journal of Cross Cultural Management,C: Preferred,SAGE,0.743,7.03840209249792,2
Anthropology,86,89.1025641025641,Environment and Society: Advances in Research,C: Preferred,Berghahn,0.741,7.014623707050291,2
Anthropology,87,88.97435897435896,Journal of Ethnobiology and Ethnomedicine,C: Preferred,Springer Nature,0.733,6.919510165259779,2
Anthropology,88,88.84615384615384,Journal of Bisexuality,C: Preferred,Taylor & Francis,0.731,6.8957317798121505,2
Anthropology,89,88.71794871794872,El-Usrah,C: Preferred,State Islamic University of Ar-Raniry Faculty of Sharia and Law,0.73,6.883842587088336,2
Anthropology,90,88.58974358974359,Porn Studies,C: Preferred,Taylor & Francis,0.722,6.788729045297824,2
Anthropology,91,88.46153846153845,Journal of International Migration and Integration,C: Preferred,Springer Nature,0.721,6.7768398525740094,2
Anthropology,92,88.33333333333333,"Gender, Place and Culture",C: Preferred,Taylor & Francis,0.72,6.764950659850196,2
Anthropology,93,88.2051282051282,Human Nature,C: Preferred,Springer Nature,0.716,6.717393888954939,2
Anthropology,93,88.2051282051282,Canadian Slavonic Papers,C: Preferred,Taylor & Francis,0.716,6.717393888954939,2
Anthropology,94,88.07692307692308,Cross Cultural and Strategic Management,C: Preferred,Emerald Publishing,0.707,6.610391154440613,2
Anthropology,95,87.94871794871794,"Culture, Medicine and Psychiatry",C: Preferred,Springer Nature,0.698,6.503388419926287,2
Anthropology,95,87.94871794871794,International Journal of Cultural Policy,C: Preferred,Taylor & Francis,0.698,6.503388419926287,2
Anthropology,96,87.82051282051282,International Journal of Cultural Studies,C: Preferred,SAGE,0.693,6.443942456307217,2
Anthropology,97,87.6923076923077,Race and Class,C: Preferred,SAGE,0.686,6.360718107240519,2
Anthropology,98,87.56410256410257,International Journal of Gastronomy and Food Science,C: Preferred,Elsevier,0.685,6.348828914516705,2
Anthropology,99,87.43589743589743,Archnet-IJAR: International Journal of Architectural Research,C: Preferred,Emerald Publishing,0.679,6.27749375817382,2
Anthropology,100,87.3076923076923,American Journal of Human Biology,C: Preferred,John Wiley & Sons,0.676,6.241826180002379,2
Anthropology,101,87.17948717948718,Journal of Physiological Anthropology,C: Preferred,Springer Nature,0.668,6.146712638211866,2
Anthropology,102,87.05128205128206,IZA Journal of Development and Migration,C: Preferred,Laborwide,0.665,6.111045060040424,2
Anthropology,103,86.92307692307692,Memory Studies,C: Preferred,SAGE,0.662,6.075377481868982,2
Anthropology,103,86.92307692307692,Focaal,C: Preferred,Berghahn,0.662,6.075377481868982,2
Anthropology,104,86.7948717948718,Annals of Leisure Research,C: Preferred,Taylor & Francis,0.661,6.063488289145168,2
Anthropology,105,86.66666666666667,Qualitative Report,C: Preferred,Nova Southeastern University,0.66,6.051599096421353,2
Anthropology,106,86.53846153846155,Innovation and Development,C: Preferred,Taylor & Francis,0.658,6.027820710973725,2
Anthropology,107,86.41025641025641,South Asian Journal of Business Studies,C: Preferred,Emerald Publishing,0.656,6.004042325526098,2
Anthropology,108,86.28205128205128,Journal of Ethnobiology,C: Preferred,SAGE,0.655,5.992153132802283,2
Anthropology,109,86.15384615384616,Asian Studies Review,C: Preferred,Taylor & Francis,0.653,5.968374747354655,2
Anthropology,110,86.02564102564104,Identities,C: Preferred,Taylor & Francis,0.647,5.8970395910117706,2
Anthropology,110,86.02564102564104,South Atlantic Quarterly,C: Preferred,Duke University Press,0.647,5.8970395910117706,2
Anthropology,111,85.8974358974359,"Journal of Race, Ethnicity and Politics",C: Preferred,Cambridge University Press,0.646,5.885150398287956,2
Anthropology,112,85.76923076923077,Review of Black Political Economy,C: Preferred,Springer Nature,0.644,5.861372012840328,2
Anthropology,113,85.64102564102565,Sexualities,C: Preferred,SAGE,0.635,5.754369278326002,2
Anthropology,114,85.51282051282051,Sociological Bulletin,C: Preferred,Indian Sociological Society,0.634,5.742480085602188,2
Anthropology,115,85.38461538461539,Cultural Studies,C: Preferred,Taylor & Francis,0.633,5.730590892878373,2
Anthropology,116,85.25641025641025,Du Bois Review,C: Preferred,Cambridge University Press,0.626,5.647366543811675,2
Anthropology,117,85.12820512820512,Anthropology and Medicine,C: Preferred,Taylor & Francis,0.617,5.540363809297348,2
Anthropology,118,85,Forum Scientiae Oeconomia,C: Preferred,WSB University,0.607,5.421471882059208,2
Anthropology,119,84.87179487179488,Arkheologiia Evraziiskikh Stepei,C: Preferred,"Academy of Sciences of Tatarstan, A.Kh. Khalikov Archaeology Institute",0.605,5.39769349661158,2
Anthropology,120,84.74358974358974,Journal of Men's Studies,C: Preferred,SAGE,0.598,5.314469147544881,2
Anthropology,120,84.74358974358974,Journal of Latinos and Education,C: Preferred,Taylor & Francis,0.598,5.314469147544881,2
Anthropology,121,84.61538461538461,International Journal of Osteoarchaeology,C: Preferred,John Wiley & Sons,0.594,5.266912376649626,2
Anthropology,121,84.61538461538461,Sexuality and Culture,C: Preferred,Springer Nature,0.594,5.266912376649626,2
Anthropology,122,84.48717948717949,Ethnography,C: Preferred,SAGE,0.588,5.195577220306741,2
Anthropology,123,84.35897435897436,Nordic Journal of Music Therapy,C: Preferred,Taylor & Francis,0.586,5.171798834859112,2
Anthropology,124,84.23076923076923,New Perspectives on Turkey,C: Preferred,Cambridge University Press,0.583,5.136131256687671,2
Anthropology,125,84.1025641025641,Ethnography and Education,C: Preferred,Taylor & Francis,0.582,5.124242063963856,2
Anthropology,126,83.97435897435898,Agrarian South,C: Preferred,SAGE,0.581,5.112352871240042,2
Anthropology,127,83.84615384615385,Cultural Studies of Science Education,C: Preferred,Springer Nature,0.58,5.1004636785162285,2
Anthropology,128,83.71794871794872,AlterNative,C: Preferred,SAGE,0.579,5.088574485792415,2
Anthropology,129,83.58974358974359,Innovation: The European Journal of Social Science Research,C: Preferred,Taylor & Francis,0.577,5.064796100344786,2
Anthropology,130,83.46153846153847,Sport in Society,C: Preferred,Taylor & Francis,0.575,5.0410177148971576,2
Anthropology,131,83.33333333333334,"Communication, Culture and Critique",C: Preferred,John Wiley & Sons,0.574,5.029128522173344,2
Anthropology,132,83.2051282051282,Ager,C: Preferred,CEDDAR,0.572,5.005350136725715,2
Anthropology,132,83.2051282051282,Transgender Studies Quarterly,C: Preferred,Duke University Press,0.572,5.005350136725715,2
Anthropology,133,83.07692307692307,Journal of International and Intercultural Communication,C: Preferred,Taylor & Francis,0.571,4.993460944001902,2
Anthropology,134,82.94871794871794,Africa,C: Preferred,Cambridge University Press,0.566,4.934014980382831,2
Anthropology,135,82.82051282051282,Journal of Human Behavior in the Social Environment,C: Preferred,Taylor & Francis,0.564,4.910236594935203,2
Anthropology,136,82.6923076923077,Journal of the International Phonetic Association,C: Preferred,Cambridge University Press,0.563,4.898347402211389,2
Anthropology,137,82.564102564102555,Intersecciones en Antropologia,C: Preferred,Universidad Nacional del Centro de la Provincia de Buenos Aires,0.558,4.838901438592321,2
Anthropology,137,82.564102564102555,Journal of China Tourism Research,C: Preferred,Taylor & Francis,0.558,4.838901438592321,2
Anthropology,138,82.43589743589743,Journal of Organizational Ethnography,C: Preferred,Emerald Publishing,0.556,4.815123053144692,2
Anthropology,139,82.3076923076923,Journal of Social Ontology,C: Preferred,University of Vienna,0.549,4.731898704077993,2
Anthropology,140,82.17948717948718,Latin American and Caribbean Ethnic Studies,C: Preferred,Taylor & Francis,0.547,4.708120318630366,2
Anthropology,141,82.05128205128204,"Vestnik Archeologii, Antropologii i Etnografii",C: Preferred,Tyumen Scientific Centre of Siberian Branch of the Russian Academy of Sciences,0.543,4.660563547735109,2
Anthropology,142,81.92307692307692,Whiteness and Education,C: Preferred,Taylor & Francis,0.542,4.648674355011295,2
Anthropology,143,81.7948717948718,Tourism and Management Studies,C: Preferred,University of Algarve,0.541,4.636785162287481,2
Anthropology,144,81.66666666666667,Journal of Psychedelic Studies,C: Preferred,Akademiai Kiado,0.54,4.624895969563667,2
Anthropology,145,81.53846153846153,Qudus International Journal of Islamic Studies,C: Preferred,STAIN Kudus,0.537,4.589228391392225,2
Anthropology,145,81.53846153846153,Social Semiotics,C: Preferred,Taylor & Francis,0.537,4.589228391392225,2
Anthropology,146,81.41025641025641,Journal of Contemporary European Studies,C: Preferred,Taylor & Francis,0.534,4.553560813220782,2
Anthropology,147,81.28205128205128,Environmental Humanities,C: Preferred,Duke University Press,0.533,4.5416716204969685,2
Anthropology,148,81.15384615384616,World Leisure Journal,C: Preferred,Taylor & Francis,0.532,4.529782427773155,2
Anthropology,148,81.15384615384616,Digital Applications in Archaeology and Cultural Heritage,C: Preferred,Elsevier,0.532,4.529782427773155,2
Anthropology,149,81.02564102564102,Emotions and Society,C: Preferred,Policy Press,0.531,4.51789323504934,2
Anthropology,150,80.8974358974359,Soccer and Society,C: Preferred,Taylor & Francis,0.529,4.494114849601712,2
Anthropology,151,80.76923076923077,Medical Anthropology: Cross Cultural Studies in Health and Illness,C: Preferred,Taylor & Francis,0.52,4.387112115087385,2
Anthropology,151,80.76923076923077,Asia Pacific Translation and Intercultural Studies,C: Preferred,Taylor & Francis,0.52,4.387112115087385,2
Anthropology,152,80.64102564102565,Contemporary Family Therapy,C: Preferred,Springer Nature,0.519,4.375222922363572,2
Anthropology,152,80.64102564102565,Journal of Ethnic Foods,C: Preferred,Springer Nature,0.519,4.375222922363572,2
Anthropology,153,80.51282051282051,Forensic Sciences Research,C: Preferred,Oxford University Press,0.517,4.351444536915944,2
Anthropology,154,80.38461538461539,Family and Consumer Sciences Research Journal,C: Preferred,John Wiley & Sons,0.513,4.303887766020687,2
Anthropology,155,80.25641025641026,Australian Journal of Indigenous Education,C: Preferred,"Aboriginal and Torres Strait Islander Studies Unit, The University of Queensland",0.508,4.244441802401617,2
Anthropology,156,80.12820512820514,Bulletin of ASOR,C: Preferred,University of Chicago Press,0.505,4.208774224230175,2
Anthropology,157,80,Anthrozoos,C: Preferred,Taylor & Francis,0.504,4.196885031506361,2
Anthropology,157,80,Journal of Contemporary Ethnography,C: Preferred,SAGE,0.504,4.196885031506361,2
Anthropology,158,79.87179487179488,Space and Culture,C: Preferred,SAGE,0.502,4.1731066460587325,2
Anthropology,159,79.74358974358975,Ethnobiology and Conservation,C: Preferred,Universidade Federal Rural de Pernambuco,0.499,4.137439067887291,2
Anthropology,160,79.61538461538463,Field Methods,C: Preferred,SAGE,0.498,4.125549875163476,2
Anthropology,161,79.48717948717949,"REICE. Revista Iberoamericana Sobre Calidad, Eficacia y Cambio en Educacion",C: Preferred,Universidad Autonoma de Madrid,0.497,4.1136606824396615,2
Anthropology,162,79.35897435897436,Modern Intellectual History,C: Preferred,Cambridge University Press,0.495,4.089882296992034,2
Anthropology,162,79.35897435897436,Culture and Organization,C: Preferred,Taylor & Francis,0.495,4.089882296992034,2
Anthropology,163,79.23076923076923,Fashion Theory - Journal of Dress Body and Culture,C: Preferred,Taylor & Francis,0.492,4.0542147188205915,2
Anthropology,164,79.1025641025641,PoLAR: Political and Legal Anthropology Review,C: Preferred,John Wiley & Sons,0.491,4.042325526096778,2
Anthropology,164,79.1025641025641,Fashion Practice,C: Preferred,Taylor & Francis,0.491,4.042325526096778,2
Anthropology,165,78.97435897435898,Filosofia Theoretica,C: Preferred,Calabar School of Philosophy,0.488,4.006657947925336,2
Anthropology,166,78.84615384615384,Economic Anthropology,C: Preferred,John Wiley & Sons,0.487,3.9947687552015214,2
Anthropology,166,78.84615384615384,Documenta Praehistorica,C: Preferred,University of Ljubljana Press,0.487,3.9947687552015214,2
Anthropology,167,78.71794871794872,Human Ecology,C: Preferred,Springer Nature,0.486,3.9828795624777076,2
Anthropology,168,78.58974358974359,Journal of Human Trafficking,D: Acceptable,Taylor & Francis,0.48,3.9115444061348232,4
Anthropology,168,78.58974358974359,Journal of Applied Youth Studies,D: Acceptable,Springer Nature,0.48,3.9115444061348232,4
Anthropology,169,78.46153846153847,Horizontes Antropologicos,D: Acceptable,Programa de Pos-Graduacao em Antropologia Social - IFCH-UFRGS,0.478,3.887766020687195,4
Anthropology,170,78.33333333333333,Forest and Society,D: Acceptable,Hasanuddin University,0.477,3.875876827963381,4
Anthropology,171,78.2051282051282,Integrative Psychological and Behavioral Science,D: Acceptable,Springer Nature,0.47,3.7926524788966827,4
Anthropology,172,78.07692307692308,Communication and Critical/ Cultural Studies,D: Acceptable,Taylor & Francis,0.469,3.7807632861728684,4
Anthropology,173,77.94871794871796,Journal of Comparative Family Studies,D: Acceptable,University of Toronto Press,0.468,3.768874093449056,4
Anthropology,174,77.82051282051282,International Journal of Multicultural Education,D: Acceptable,Eastern University,0.467,3.7569849007252416,4
Anthropology,175,77.6923076923077,Journal of Communication Inquiry,D: Acceptable,SAGE,0.466,3.7450957080014273,4
Anthropology,176,77.56410256410257,Journal of Anthropological Research,D: Acceptable,University of Chicago Press,0.464,3.721317322553799,4
Anthropology,176,77.56410256410257,China Review,D: Acceptable,Chinese University of Hong Kong Press,0.464,3.721317322553799,4
Anthropology,177,77.435897435897445,Violence and Gender,D: Acceptable,Mary Ann Liebert,0.457,3.638092973487101,4
Anthropology,177,77.435897435897445,Popular Music and Society,D: Acceptable,Taylor & Francis,0.457,3.638092973487101,4
Anthropology,178,77.3076923076923,Comechingonia,D: Acceptable,Instituto de Estudios Historicos,0.456,3.6262037807632868,4
Anthropology,178,77.3076923076923,Cultural Studies - Critical Methodologies,D: Acceptable,SAGE,0.456,3.6262037807632868,4
Anthropology,179,77.17948717948718,Communication and Society,D: Acceptable,Universidad de Navarra,0.455,3.614314588039473,4
Anthropology,180,77.05128205128206,Journal of Ethnicity in Criminal Justice,D: Acceptable,Taylor & Francis,0.454,3.6024253953156586,4
Anthropology,181,76.92307692307692,Journal of Eurasian Studies,D: Acceptable,Hanyang University,0.453,3.5905362025918444,4
Anthropology,181,76.92307692307692,Critical Inquiry,D: Acceptable,University of Chicago Press,0.453,3.5905362025918444,4
Anthropology,182,76.7948717948718,Journal of Islamic Studies,D: Acceptable,Oxford University Press,0.446,3.507311853525146,4
Anthropology,183,76.66666666666666,Latin American Research Review,D: Acceptable,Cambridge University Press,0.442,3.4597550826298904,4
Anthropology,183,76.66666666666666,Migration and Society,D: Acceptable,Berghahn,0.442,3.4597550826298904,4
Anthropology,183,76.66666666666666,Ethnopolitics,D: Acceptable,Taylor & Francis,0.442,3.4597550826298904,4
Anthropology,184,76.53846153846153,Journal of Asian Architecture and Building Engineering,D: Acceptable,Taylor & Francis,0.441,3.4478658899060757,4
Anthropology,185,76.41025641025641,Journal of Multicultural Counseling and Development,D: Acceptable,John Wiley & Sons,0.439,3.424087504458448,4
Anthropology,185,76.41025641025641,Hispanic Journal of Behavioral Sciences,D: Acceptable,SAGE,0.439,3.424087504458448,4
Anthropology,186,76.28205128205127,Secularism and Nonreligion,D: Acceptable,Ubiquity Press,0.438,3.4121983117346337,4
Anthropology,187,76.15384615384615,American Indian and Alaska Native Mental Health Research,D: Acceptable,University Press of Colorado,0.436,3.3884199262870056,4
Anthropology,188,76.02564102564102,Fat Studies,D: Acceptable,Taylor & Francis,0.435,3.3765307335631913,4
Anthropology,189,75.8974358974359,Ethnobotany Research and Applications,D: Acceptable,"Ilia State University, Institute of Botany, Department of Ethnobotany",0.434,3.3646415408393775,4
Anthropology,189,75.8974358974359,New Research of Tuva,D: Acceptable,Ch. K. Lamazhaa,0.434,3.3646415408393775,4
Anthropology,189,75.8974358974359,Si Somos Americanos,D: Acceptable,Arturo Prat University,0.434,3.3646415408393775,4
Anthropology,190,75.76923076923077,Journal of Anthropological Sciences,D: Acceptable,Istituto Italiano di Antropologia,0.432,3.34086315539175,4
Anthropology,190,75.76923076923077,Revista Mediterranea de Comunicacion,D: Acceptable,Universidad de Alicante,0.432,3.34086315539175,4
Anthropology,191,75.64102564102564,Social Analysis,D: Acceptable,Berghahn,0.431,3.328973962667935,4
Anthropology,191,75.64102564102564,Asian Perspectives,D: Acceptable,University of Hawaii Press,0.431,3.328973962667935,4
Anthropology,191,75.64102564102564,Cultural Politics,D: Acceptable,Duke University Press,0.431,3.328973962667935,4
Anthropology,192,75.51282051282051,Slavic Review,D: Acceptable,Cambridge University Press,0.429,3.3051955772203074,4
Anthropology,193,75.38461538461539,"International Journal of Society, Culture and Language",D: Acceptable,Lulu Press Inc,0.428,3.293306384496493,4
Anthropology,194,75.25641025641025,Ulumuna,D: Acceptable,Universitas Islam Negeri (UIN) Mataram,0.426,3.269527999048865,4
Anthropology,195,75.12820512820512,International Journal of Ageing and Later Life,D: Acceptable,Linkoping University Electronic Press,0.423,3.2338604208774226,4
Anthropology,196,75,Anthropologie (France),D: Acceptable,Elsevier,0.419,3.186303649982167,4
Anthropology,196,75,Continuum,D: Acceptable,Taylor & Francis,0.419,3.186303649982167,4
Anthropology,197,74.87179487179488,"Diaspora, Indigenous, and Minority Education",D: Acceptable,Taylor & Francis,0.418,3.1744144572583526,4
Anthropology,198,74.74358974358975,European Journal of Applied Linguistics,D: Acceptable,Walter de Gruyter,0.417,3.162525264534538,4
Anthropology,199,74.61538461538461,Childhood,D: Acceptable,SAGE,0.416,3.1506360718107245,4
