Source title,CiteScore,SNIP,SJR,PC1_score,impact_index,tier
European Journal of Political Research,10.1,2.915,3.377,3.610124363099449,16.402724713031727,B: Preferred
Environmental Politics,13.7,2.779,2.7,3.6092622022656746,16.39956774703664,B: Preferred
Reading Research Quarterly,10,3.757,2.513,3.5738410761281307,16.26986655168736,B: Preferred
Developmental Review,11,3.094,2.92,3.561879517705725,16.22606702878112,B: Preferred
Research Methods in Applied Linguistics,8.3,4.152,2.452,3.540144132679637,16.146478779432034,B: Preferred
Work and Stress,12.5,2.775,2.848,3.5323776998036687,16.118040507207105,B: Preferred
International Journal of Operations and Production Management,14.7,2.219,2.876,3.5178759523513468,16.06493959867258,B: Preferred
Child Development Perspectives,11.4,2.92,2.875,3.4847722582840124,15.943724121944438,B: Preferred
"BenchCouncil Transactions on Benchmarks, Standards and Evaluations",16,3.148,1.531,3.432129144967845,15.750961342537002,B: Preferred
Psychological Review,10.3,2.884,3.064,3.427491678906705,15.733980377866766,B: Preferred
Resources Policy,17,1.948,2.381,3.368439565280852,15.517749823947241,B: Preferred
Decision Support Systems,13.5,2.592,2.366,3.2650040922104364,15.139001151568603,B: Preferred
Journal of Mixed Methods Research,10,3.43,2.328,3.264102965006498,15.135701502792372,B: Preferred
Gender and Society,11.7,3.022,2.272,3.2184011177160663,14.96835549012689,B: Preferred
Food Policy,13.5,2.433,2.335,3.1504678135651334,14.719604766669145,B: Preferred
Policy Studies Journal,12.3,2.941,2.066,3.1261924744840743,14.63071599209726,B: Preferred
European Societies,16.8,2.33,1.592,3.087801509104147,14.490140165087867,B: Preferred
World Development,13.1,2.553,2.161,3.061125230140637,14.392459892145592,B: Preferred
Journal of Business and Economic Statistics,5.3,2.29,4.171,3.0601289027721186,14.388811649846511,B: Preferred
Journal of Political Philosophy,7.6,4.471,1.501,3.0537579746378363,14.365483283851258,B: Preferred
Journal of Vocational Behavior,10.8,2.409,2.793,3.0449413523557634,14.333199543224614,B: Preferred
"Gender, Work and Organization",12.2,2.347,2.539,3.0448061871445287,14.332704610076567,B: Preferred
Structural Equation Modeling,8.4,2.413,3.321,3.04033134531342,14.316319124978207,B: Preferred
Energy Research and Social Science,13.6,2.024,2.53,3.0376931714182693,14.306658949115599,B: Preferred
European Child and Adolescent Psychiatry,12.1,2.385,2.488,3.022690282273047,14.25172301488607,B: Preferred
Philosophy and Technology,11.4,3.142,1.862,2.9984176456027667,14.162844135705624,B: Preferred
Critical Perspectives on Accounting,10.6,2.714,2.426,2.97621657175766,14.081550678107282,B: Preferred
Behavior Research Methods,8.6,3.127,2.462,2.9714289656601087,14.06401994711633,B: Preferred
Adolescent Research Review,10.9,2.639,2.424,2.9711710613811486,14.063075581509857,B: Preferred
International Journal of Social Research Methodology: Theory and Practice,10.9,3.224,1.81,2.947126047825976,13.975030187690777,B: Preferred
Political Behavior,7.9,2.625,3.021,2.9154425781658797,13.85901513295282,B: Preferred
Clinical Child and Family Psychology Review,9.9,2.735,2.455,2.9103134642981257,13.840233906259266,B: Preferred
Current Opinion in Environmental Sustainability,14.2,2.031,2.15,2.8919185799175313,13.77287753584884,B: Preferred
Qualitative Research,8.9,3.261,2.113,2.8796985392421885,13.728131530974396,B: Preferred
Internet Research,13.4,2.23,2.11,2.8770355919003254,13.718380642421318,B: Preferred
Social Psychological and Personality Science,12,2.088,2.494,2.8340923366494666,13.561135739574429,B: Preferred
Psychological Medicine,13.2,1.847,2.424,2.8114392239736885,13.478187055757285,B: Preferred
Journal of Peasant Studies,10.2,2.685,2.248,2.794867962200148,13.417508226627797,B: Preferred
Educational Technology and Society,12,2.589,1.924,2.786478701840586,13.38678935302377,B: Preferred
Journal of Politics,6,2.429,3.428,2.7853506780961284,13.382658879377324,B: Preferred
Sociological Theory,6.8,3.105,2.527,2.750426740433131,13.254778234261606,B: Preferred
Journal of Business and Psychology,10.1,2.54,2.313,2.7337302807341044,13.193640969097991,B: Preferred
Public Administration,9.3,2.744,2.255,2.710839548791138,13.109822197105995,B: Preferred
Journal of Health and Social Behavior,10,2.292,2.519,2.696951947383113,13.058970101208173,B: Preferred
Psychological Science,9.7,2.288,2.5,2.641664746594458,12.85652549224913,B: Preferred
Postdigital Science and Education,12.2,2.633,1.591,2.63668914591941,12.838306383330103,B: Preferred
Learning and Instruction,9.7,2.536,2.236,2.6292038469364805,12.810897536365085,B: Preferred
Research,13.3,1.642,2.299,2.625493944048862,12.797313020805486,B: Preferred
Comparative Migration Studies,7.8,3.517,1.693,2.6253201017255057,12.79667646404967,B: Preferred
Patterns,14.6,2.063,1.527,2.584988828270676,12.648995829709095,B: Preferred
Social Media and Society,9.2,2.622,2.169,2.571138951729903,12.598281870593201,B: Preferred
Policy and Society,12,2.598,1.558,2.567955889990623,12.586626484176294,B: Preferred
Work and Occupations,7.4,2.248,2.918,2.557058473794327,12.546723520577968,B: Preferred
European History Quarterly,0.6,6.563,0.197,2.55066272087787,12.523304253917669,B: Preferred
American Journal of Sociology,6.4,2.559,2.811,2.540996314433493,12.487908866834289,B: Preferred
Political Studies,7.9,3.036,1.967,2.517603917926124,12.402253154553753,B: Preferred
Multivariate Behavioral Research,8.5,2.121,2.711,2.505352397658854,12.357391881161698,B: Preferred
Political Communication,8.7,2.621,2.173,2.5042218434329104,12.353252141675647,B: Preferred
Group and Organization Management,9.9,2.142,2.373,2.503711302806129,12.351382699995254,B: Preferred
Journal of Positive Psychology,10.7,2.285,2.03,2.4898248757709007,12.300534904286959,B: Preferred
Ecological Indicators,13.3,1.738,1.959,2.475171548706606,12.246878958151793,B: Preferred
Review of International Political Economy,9.2,2.584,2.01,2.45101637700037,12.158430199295276,B: Preferred
Ethics in Science and Environmental Politics,9.6,3.698,0.824,2.4499745864901676,12.154615485049543,B: Preferred
"Technology, Mind, and Behavior",13.6,1.863,1.679,2.42024830099498,12.045767032658498,B: Preferred
Human Factors,11,2.645,1.479,2.4103440240118794,12.009500637321706,B: Preferred
Journal of European Public Policy,9.4,2.419,2.048,2.402595828687769,11.981129145364209,B: Preferred
Social Problems,8.5,2.474,2.177,2.3908072876121573,11.93796315840508,B: Preferred
Autism,9.3,2.419,2.031,2.3784419187727077,11.892685006796246,B: Preferred
Journal of Environmental Psychology,10,2.075,2.208,2.3762395000253647,11.884620431348226,B: Preferred
"Journal of Open Innovation: Technology, Market, and Complexity",14,2.163,1.215,2.371686062559887,11.867947153374867,B: Preferred
Journal of Occupational Health Psychology,10,1.857,2.38,2.3504433305068915,11.790162846657484,B: Preferred
Virtual Economics,15.8,1.271,1.618,2.3296547091172033,11.714041352568444,B: Preferred
Computers in Human Behavior Reports,8.9,2.745,1.709,2.322366817034777,11.687355348543708,B: Preferred
Exceptional Children,6,2.984,2.118,2.3174350605954857,11.669296783639146,B: Preferred
International Journal for Educational Integrity,11.9,2.358,1.405,2.3163365398801696,11.665274340949457,B: Preferred
Design Studies,10.5,2.663,1.41,2.310183037913291,11.642742122250674,B: Preferred
American Religion,0.7,6.176,0.136,2.294481197579547,11.585246845207196,B: Preferred
Journal of Social Issues,10.9,2.201,1.746,2.2930790265425762,11.580112529068485,B: Preferred
Regional Studies,10.1,2.217,1.904,2.2893449081186215,11.566439343713451,B: Preferred
Journal of Rural Studies,11.3,2.07,1.763,2.2797514631827176,11.531311119080714,B: Preferred
Assessment,9.6,2.042,2.158,2.2708017856930427,11.49854017148594,B: Preferred
Journal of Industrial Ecology,12,1.639,2.011,2.2686968313449603,11.49083248048702,B: Preferred
Cities,10.9,2.065,1.839,2.268235048175849,11.4891415735183,B: Preferred
Environmental Innovation and Societal Transitions,10.8,1.813,2.108,2.2675981953889757,11.486809615821691,B: Preferred
European Journal of Personality,9.3,1.793,2.418,2.238956236641612,11.381931632206703,B: Preferred
"Work, Employment and Society",7.4,2.536,2.115,2.2388599490206764,11.381579056755424,B: Preferred
Review of General Psychology,8.2,2.83,1.598,2.2092746655618347,11.273246910158546,B: Preferred
Personality and Social Psychology Bulletin,9.9,1.849,2.174,2.2058436799010233,11.260683703113534,B: Preferred
European Journal of Psychology Applied to Legal Context,12.1,1.9,1.62,2.200099136548049,11.239648964220047,B: Preferred
Child Development,8.5,2.128,2.195,2.193851883614264,11.216773458511538,B: Preferred
Journals of Gerontology - Series B Psychological Sciences and Social Sciences,11.1,1.678,1.995,2.158574864518962,11.087599938526518,B: Preferred
Tobacco Control,9.8,1.648,2.305,2.1514276130490098,11.061428916873647,B: Preferred
Social Science and Medicine,9.1,2.007,2.103,2.1473500773293965,11.046498243725097,B: Preferred
"Cambridge Journal of Regions, Economy and Society",8.3,2.148,2.144,2.1471641312558543,11.045817366784165,B: Preferred
"Theory, Culture and Society",5.3,3.405,1.531,2.1150662495478088,10.928284863454165,B: Preferred
Journal of Peace Research,7.2,2.547,1.941,2.1115066428312406,10.915250685931985,B: Preferred
Group Processes and Intergroup Relations,9.9,1.876,1.99,2.109494398200671,10.907882469209948,B: Preferred
Cognition and Instruction,7.6,2.684,1.669,2.0824435500960625,10.808830640062691,B: Preferred
School Psychology Review,11.7,1.755,1.654,2.0787364683094585,10.795256454501423,B: Preferred
Political Psychology,8.7,2.031,2.047,2.0725020422508793,10.772427916837927,B: Preferred
Decision Making: Applications in Management and Engineering,13.7,1.791,1.151,2.0676742885112303,10.7547501776138,B: Preferred
Body Image,9.4,1.818,2.069,2.0542043739054736,10.705427521444278,B: Preferred
Sustainability Science,11.9,1.809,1.515,2.053653968722094,10.70341210810215,B: Preferred
Wiley Interdisciplinary Reviews: Cognitive Science,8.3,2.371,1.76,2.046256150013983,10.676323586814224,B: Preferred
Journal of Clinical Child and Adolescent Psychology,10.5,1.742,1.877,2.0423301674455385,10.661947854375045,B: Preferred
Party Politics,6.5,2.332,2.186,2.0359090312944264,10.638435642169657,B: Preferred
Government and Opposition,6.3,2.481,2.084,2.035554962895824,10.637139153335402,B: Preferred
Sociology of Education,6.8,2.486,1.965,2.0345150588998413,10.63333134692056,B: Preferred
Decision Analytics Journal,10.9,2.159,1.354,2.027994136382125,10.609453747940686,B: Preferred
"Accounting, Organizations and Society",6.1,2.479,2.118,2.0276499392728233,10.60819340471109,B: Preferred
Contemporary Educational Psychology,7.9,2.042,2.126,2.0174274643353924,10.570761866999261,B: Preferred
Socio-Economic Review,7.9,2.207,1.947,2.0070843314675373,10.532888517309361,B: Preferred
Human Development,8.2,2.513,1.549,1.9887570561533652,10.465779710364236,B: Preferred
Frontiers of Engineering Management,11.9,1.914,1.301,1.985832638656759,10.45507139907178,B: Preferred
Political Science Research and Methods,5.9,1.832,2.724,1.982028871967093,10.441143183335113,B: Preferred
International Affairs,6.9,2.668,1.667,1.9753340878817987,10.416628957133037,B: Preferred
"Media, Culture and Society",7,2.573,1.716,1.96196561631042,10.367677753942385,B: Preferred
Journal of Youth and Adolescence,8.4,1.913,2.043,1.9578709944005108,10.35268451645591,B: Preferred
Campbell Systematic Reviews,8,2.469,1.585,1.9568309789308735,10.348876301859065,B: Preferred
Journal of Population Economics,8.7,2.074,1.805,1.950283245128642,10.324900528257722,B: Preferred
Journal of Personality,8.2,1.911,2.069,1.945071273588455,10.305815902425564,B: Preferred
Psychonomic Bulletin and Review,7.3,2.212,1.972,1.9428695146030317,10.297753742821392,B: Preferred
Transactions of Tianjin University,12.1,1.29,1.756,1.9166593693091154,10.201780307033422,B: Preferred
European Journal of Work and Organizational Psychology,8.7,1.885,1.919,1.906431404537279,10.164328667247995,B: Preferred
Race Ethnicity and Education,7,2.516,1.681,1.9062906139627083,10.163813135761366,B: Preferred
Human-Computer Interaction,13.2,1.762,1.027,1.9056122065915209,10.161329018044862,B: Preferred
European Journal of International Relations,6.8,2.328,1.892,1.8948826849619211,10.122040832359259,B: Preferred
Journal of Language and Social Psychology,6.9,2.582,1.593,1.878366553189684,10.061563872222896,B: Preferred
Regulation and Governance,9.6,2.144,1.403,1.870173363368093,10.031562948213383,B: Preferred
Organizational Behavior and Human Decision Processes,7.7,1.568,2.383,1.8622594684937692,10.002584715813809,B: Preferred
New Left Review,3.5,4.339,0.602,1.8605159907068793,9.996200640046528,B: Preferred
Journal of Occupational and Organizational Psychology,7.4,2.054,1.969,1.8598184194576628,9.993646350142999,B: Preferred
Demography,6,1.952,2.363,1.847036133690032,9.946841577846374,B: Preferred
Journal of Research on Adolescence,8.1,1.794,2.03,1.837132347262532,9.91057697877229,B: Preferred
Social Science Computer Review,9.9,2.044,1.374,1.8335816262304536,9.897575337875155,B: Preferred
Tsinghua Science and Technology,12.3,1.798,1.067,1.8279499252391396,9.87695379276711,B: Preferred
Housing Studies,7.3,2.497,1.496,1.8229385425822369,9.858603661310845,B: Preferred
Social Movement Studies,8.5,2.338,1.381,1.822040084111689,9.85531378460988,B: Preferred
International Journal of Social Robotics,11.2,1.936,1.157,1.8146827694338328,9.8283735765382,B: Preferred
Journal of Applied Behavioral Science,8.1,2.092,1.684,1.8045540489128775,9.791285338467354,B: Preferred
Educational and Psychological Measurement,6.4,2.213,1.933,1.7958348252614362,9.759358241465463,B: Preferred
Policy and Internet,8.3,2.18,1.537,1.795013060433831,9.756349193135872,B: Preferred
Journal of Leadership and Organizational Studies,9.4,1.765,1.687,1.7886261407821908,9.73296227115601,B: Preferred
Quantitative Science Studies,8.3,2.208,1.486,1.780639184451442,9.703716510327345,B: Preferred
Social Psychiatry and Psychiatric Epidemiology,8.6,1.72,1.887,1.773924220655488,9.679128392273718,B: Preferred
Research on Language and Social Interaction,6.5,2.401,1.686,1.7714639385231556,9.670119600960284,B: Preferred
Journal of Chinese Political Science,9.4,2.08,1.332,1.760759412243536,9.630922940506203,B: Preferred
Population and Development Review,6.5,2.545,1.522,1.7576759989364017,9.619632435790509,B: Preferred
Annals of the New York Academy of Sciences,10.3,1.731,1.458,1.7518533309429924,9.598311628655958,B: Preferred
Journal of Applied Sport Psychology,8.2,1.989,1.661,1.7423247830406217,9.563421036863891,B: Preferred
Smart and Sustainable Built Environment,12.7,1.622,0.991,1.7306735843099932,9.520757955042425,B: Preferred
Journal of Happiness Studies,8.8,1.84,1.648,1.7273282928998361,9.508508533807083,B: Preferred
Ijtihad: Jurnal Wacana Hukum Islam dan Kemanusiaan,8,2.149,1.517,1.7228852688486302,9.492239555565982,B: Preferred
Journal of School Psychology,6.2,2.172,1.891,1.7179886452954263,9.47430963641096,B: Preferred
Policy and Politics,7.8,2.287,1.413,1.7146958117036135,9.462252299462214,B: Preferred
Tourism Recreation Research,12.1,1.661,1.036,1.6991317187154977,9.405261410543346,B: Preferred
Journal of Conflict Resolution,5,2.133,2.138,1.6806387473006803,9.337545875787395,B: Preferred
Affective Science,7,1.674,2.127,1.6730732944175821,9.309843530060547,B: Preferred
Journal of Experimental Psychology: General,6.5,1.829,2.076,1.6662712751337834,9.284936641768185,B: Preferred
Security Dialogue,6.1,2.476,1.53,1.66608650102751,9.284260056208478,B: Preferred
European Journal of Social Theory,5.6,2.995,1.132,1.6657646329403253,9.28308147494343,B: Preferred
Behaviour Research and Therapy,7.6,1.643,2.009,1.6647595677613323,9.279401237488157,B: Preferred
Earth System Governance,10.2,1.522,1.539,1.662036887060003,9.269431623869844,B: Preferred
Journal of European Social Policy,6.7,2.316,1.545,1.661609736599267,9.267867531154769,B: Preferred
Sociology,5.7,2.589,1.497,1.6588055009106497,9.257599288427464,B: Preferred
British Journal for the Philosophy of Science,6.3,2.011,1.923,1.6545486555024052,9.242012038724491,B: Preferred
Journal of Counseling Psychology,7.4,1.95,1.734,1.6535259347372067,9.238267151979793,B: Preferred
Communication and Sport,7.6,2.19,1.418,1.6319463405276284,9.159249360358313,B: Preferred
Past and Present,3.2,3.746,0.854,1.6170094016929717,9.104554915743787,B: Preferred
Journal of Learning Disabilities,6.9,2.249,1.477,1.607238815624115,9.068778055135999,B: Preferred
Theory and Research in Social Education,5.8,2.394,1.58,1.6061329974004817,9.064728891230613,B: Preferred
IEEE Transactions on Computational Social Systems,9.2,1.942,1.257,1.6044193062301682,9.058453884829461,B: Preferred
Emotion,7.3,1.627,1.986,1.599812238979077,9.041584231188276,B: Preferred
Journal of Management Science and Engineering,10.9,1.701,1.098,1.5960760792677504,9.027903571270995,B: Preferred
Journal of Experimental Social Psychology,6.6,1.683,2.065,1.5855382621984326,8.989317348321583,B: Preferred
Journal of Memory and Language,6.2,2.029,1.802,1.5775828512282377,8.960187096834876,B: Preferred
Feminist Economics,8.5,1.99,1.318,1.5743237411747684,8.948253245040656,B: Preferred
Scientific Studies of Reading,6.3,2.388,1.415,1.5703368701182823,8.933654557813103,B: Preferred
British Journal of Educational Psychology,7.8,1.886,1.552,1.5587141304444272,8.891095684244862,B: Preferred
Human Behavior and Emerging Technologies,11.3,1.606,1.036,1.556051719363192,8.881346759312141,B: Preferred
Topics in Cognitive Science,8.9,1.93,1.252,1.552889305922978,8.869766980572424,B: Preferred
Harvard Kennedy School Misinformation Review,7.6,1.584,1.858,1.5369093262724771,8.811253243480078,B: Preferred
Language Testing,7,2.074,1.511,1.5366075908294392,8.810148381723582,B: Preferred
Science Education,7,2.219,1.367,1.5356574591652454,8.8066692937887,B: Preferred
Review of Economics of the Household,8.7,1.786,1.395,1.5263233086118237,8.77249052489107,B: Preferred
Science Technology and Human Values,7.6,2.131,1.29,1.5181683534573065,8.742629604392567,B: Preferred
Project Leadership and Society,8.7,2.268,0.904,1.51562457449633,8.733315073548408,B: Preferred
Political Geography,7.2,1.967,1.524,1.50775288089656,8.704491369148133,B: Preferred
Journal of Ethnic and Migration Studies,7.5,2.101,1.321,1.5053506781788935,8.695695246666235,B: Preferred
International Political Sociology,4.9,2.68,1.33,1.5013041804255396,8.680878224938857,B: Preferred
Police Quarterly,7,2.02,1.503,1.4992553863445566,8.67337617544737,B: Preferred
SSM - Population Health,7.8,1.526,1.808,1.4989610585220032,8.672298438103235,B: Preferred
Review of International Studies,6,2.278,1.47,1.4966127336365762,8.663699599559099,B: Preferred
Journal of Policy Analysis and Management,5,1.562,2.398,1.4965083195390865,8.663317267467137,B: Preferred
Psychometrika,5,2.062,1.903,1.4941814059276746,8.654796830378189,B: Preferred
AERA Open,6.2,2.033,1.659,1.4924943987735697,8.648619532581375,B: Preferred
Journal of Family Theory and Review,6.1,2.135,1.58,1.4917152105354508,8.645766386538142,B: Preferred
RSF,8.5,1.484,1.679,1.4910580871699721,8.643360204259704,B: Preferred
Science Communication,8.5,1.816,1.35,1.4893172286444325,8.6369857194164,B: Preferred
Geography Compass,6.5,2.217,1.391,1.4803760288909682,8.604245814666399,B: Preferred
Australian Journal of Psychology,7,2.001,1.477,1.4719273864315956,8.573309502201228,B: Preferred
International Political Science Review,7.3,2.022,1.377,1.4646240706817433,8.546567021482495,B: Preferred
Mathematical Thinking and Learning,6.4,2.345,1.246,1.4548432775411366,8.510752785738699,B: Preferred
European Journal of Psychological Assessment,7.8,1.856,1.407,1.4519657953951228,8.500216337166034,B: Preferred
Fundamental Research,10.6,1.438,1.182,1.4481322827581902,8.486179200981656,B: Preferred
Journal of Consumer Culture,7.1,1.867,1.54,1.4436831018940768,8.469887678398216,B: Preferred
Media Psychology,8.2,1.558,1.594,1.4422727006655864,8.464723225846738,B: Preferred
Developmental Science,7.2,1.617,1.73,1.4234186010417693,8.395685351417006,B: Preferred
International Journal of Geoheritage and Parks,9.5,1.955,0.879,1.4222167435612723,8.391284521492665,B: Preferred
Health Communication,8.2,1.694,1.419,1.4169460328444998,8.371984810985127,B: Preferred
Post-Soviet Affairs,5.6,2.635,1.072,1.4126710220502274,8.356331045263643,B: Preferred
